,geometry,type,description
0,"POLYGON ((-106.181719923 36.023674275, -106.188463604 36.02494594, -106.200597775 36.033370121, -106.214713386 36.03470141, -106.222717368 36.032351558, -106.228674253 36.03473925, -106.230856223 36.03723311, -106.234268964 36.035202262, -106.240261037 36.035489701, -106.243833875 36.030876488, -106.249247478 36.032261724, -106.257891227 36.02978047, -106.260515642 36.024821231, -106.271201676 36.02735796, -106.276686886 36.033813528, -106.279427409 36.030024765, -106.284745643 36.027429402, -106.286448113 36.02797029, -106.285473187 36.032488377, -106.295206627 36.033947753, -106.299399664 36.032249301, -106.300654574 36.028908837, -106.303458599 36.02812863, -106.304948023 36.023220349, -106.309432713 36.020647703, -106.309814348 36.017566076, -106.316607764 36.016120974, -106.323540589 36.0110253, -106.330191957 36.001052313, -106.333760912 35.999015116, -106.341375662 35.998080058, -106.343071086 35.995439457, -106.353719931 35.994396919, -106.362242944 35.99484449, -106.362811986 35.997664536, -106.370236051 35.999666649, -106.379495481 35.99970548, -106.383753647 36.003169118, -106.384580482 36.00744462, -106.400661706 36.015868969, -106.402882229 36.020125422, -106.409451319 36.018629287, -106.415018323 36.015018299, -106.430070976 36.017305203, -106.43756222 36.021662112, -106.443854834 36.021127458, -106.468484805 36.012562327, -106.475071509 36.007036812, -106.480620775 36.010844555, -106.483227157 36.014672055, -106.488178869 36.010570487, -106.491666228 36.000883098, -106.504609121 36.001849894, -106.515347097 36.007517225, -106.520501723 36.000860679, -106.527148598 36.000919648, -106.53069921 35.998877712, -106.533258744 36.002693755, -106.538105788 36.004834586, -106.553443745 36.007350283, -106.563384588 36.011709381, -106.565543802 36.014328548, -106.574964752 36.015831089, -106.578407134 36.018379922, -106.589870131 36.021266135, -106.594614687 36.020952125, -106.595952465 36.023258783, -106.603405756 36.020975593, -106.606556984 36.025154512, -106.607015773 36.029405566, -106.610609579 36.027214147, -106.612314488 36.030361838, -106.61093846 36.032380298, -106.614646935 36.034881271, -106.617816013 36.034513551, -106.624042392 36.02790986, -106.63024661 36.026265412, -106.637602568 36.02961833, -106.646559998 36.026944815, -106.651120903 36.028563726, -106.652126708 36.030899701, -106.660966825 36.032388925, -106.665418682 36.036445525, -106.670614565 36.037326412, -106.676051678 36.034543806, -106.681925414 36.033728814, -106.683626318 36.027954248, -106.685728839 36.027069883, -106.692572535 36.034810895, -106.700712106 36.036088691, -106.702706813 36.039080813, -106.706202001 36.040322076, -106.707432455 36.04318509, -106.706591914 36.047835664, -106.710214272 36.051346431, -106.71705208 36.05329257, -106.719380846 36.05692621, -106.719614317 36.060949126, -106.725300175 36.059561472, -106.736055325 36.065276737, -106.742790556 36.066942267, -106.756835507 36.062296191, -106.769231578 36.06023286, -106.777212928 36.069996217, -106.774732657 36.075999102, -106.7789362 36.079002509, -106.78737525 36.090130862, -106.797673695 36.096188172, -106.80479455 36.096610612, -106.814709033 36.103190248, -106.811395357 36.118413679, -106.813979972 36.123054746, -106.818132237 36.124924262, -106.820765559 36.129899915, -106.823707533 36.13029126, -106.833683082 36.126774357, -106.836879624 36.128494498, -106.837941002 36.122173128, -106.843416888 36.119809236, -106.847737434 36.121712973, -106.849426282 36.124781672, -106.848492743 36.128778641, -106.851256737 36.130274616, -106.852802189 36.137763115, -106.862087887 36.1401039, -106.869307989 36.144406634, -106.870568224 36.146246198, -106.869068014 36.149555797, -106.875562468 36.15488938, -106.873623547 36.156122135, -106.874176253 36.157769405, -106.87820519 36.16170011, -106.881217298 36.162317573, -106.881814607 36.164198773, -106.891203835 36.169365638, -106.890135837 36.171350919, -106.891150918 36.173684635, -106.888932844 36.177418318, -106.898000853 36.190583156, -106.917625989 36.193756488, -106.92665787 36.202435983, -106.932004801 36.202951553, -106.935199132 36.201608806, -106.941867386 36.203654009, -106.950670187 36.203176639, -106.952441985 36.205735245, -106.955413924 36.20553104, -106.953642794 36.214322902, -106.949834021 36.219508241, -106.950990335 36.221866519, -106.950129552 36.224296718, -106.952669092 36.225293188, -106.949476606 36.226216937, -106.949300036 36.22874424, -106.952398138 36.232366794, -106.950215179 36.233867488, -106.949156355 36.237723062, -106.953850076 36.24369505, -106.966139772 36.239596985, -106.971168834 36.243624705, -106.968701865 36.246639182, -106.974113007 36.247760275, -106.97495233 36.251188289, -106.966628262 36.260304081, -106.969785136 36.261498311, -106.970262202 36.263215452, -106.966111469 36.271299576, -106.968234187 36.27893834, -106.97068383 36.281611266, -106.960893835 36.291899693, -106.957762824 36.293182141, -106.959649155 36.296418996, -106.955678894 36.299712374, -106.955114479 36.302789231, -106.951821056 36.304653049, -106.955645887 36.312128984, -106.953561283 36.314974873, -106.955393293 36.317163539, -106.951542207 36.319927467, -106.950427755 36.323945829, -106.950194946 36.332740595, -106.951806592 36.334479837, -106.950422035 36.337665649, -106.953317576 36.340932007, -106.95953945 36.342565358, -106.957549315 36.347300416, -106.962448687 36.351566155, -106.963434525 36.356084378, -106.962078917 36.358340794, -106.967050844 36.360434301, -106.968917671 36.358935441, -106.972476367 36.361552705, -106.975063798 36.360018997, -106.977743742 36.360943387, -106.97648435 36.363955777, -106.980014471 36.364803939, -106.980915955 36.366867393, -106.983447527 36.367428289, -106.984154352 36.370310127, -106.986260863 36.370404585, -106.981342228 36.377168794, -106.980406678 36.383403722, -106.989228359 36.386039217, -106.98721172 36.389890326, -106.98938128 36.392959621, -106.98868236 36.39735281, -106.99277449 36.398654496, -106.992285905 36.399896007, -106.995264709 36.402631531, -106.994478772 36.409383581, -106.996705343 36.412373804, -106.996692677 36.415458825, -107.001162097 36.420032674, -107.000732773 36.422267198, -107.004905403 36.42219618, -107.004942599 36.424360302, -107.008798451 36.427044158, -107.015706289 36.427546081, -107.018612844 36.435147499, -107.015032137 36.44091074, -107.016294533 36.443130267, -107.014670683 36.445188637, -107.011500923 36.445087288, -107.009877343 36.448569508, -107.007616804 36.44758581, -106.995384963 36.453802603, -106.990642885 36.453190442, -106.985861777 36.455911875, -106.987178118 36.45921145, -106.983964139 36.461723179, -106.987658295 36.4633505, -106.988013936 36.465959147, -106.986821815 36.468569139, -106.980558243 36.473115956, -106.982655207 36.474241617, -106.981771259 36.477823675, -106.983147757 36.481505301, -106.980671989 36.485507577, -106.97669257 36.486113622, -106.974567473 36.49008137, -106.974798583 36.494392788, -106.972532634 36.49730972, -106.973835139 36.500541136, -106.970948534 36.502525087, -106.970722278 36.505602079, -106.967974712 36.508565205, -106.956729425 36.514795546, -106.954211987 36.517956197, -106.943882536 36.520158306, -106.944026477 36.5221818, -106.93717633 36.525033287, -106.934938583 36.527940337, -106.931266582 36.527707722, -106.929162989 36.524361865, -106.926861427 36.525438027, -106.922321246 36.524018775, -106.919211123 36.525705765, -106.917175748 36.524649177, -106.912931378 36.525980506, -106.916487944 36.529246481, -106.914917417 36.532403804, -106.917243696 36.534114132, -106.918025384 36.538410757, -106.914537718 36.539683448, -106.916101935 36.545490255, -106.913572457 36.549042577, -106.914357477 36.554585672, -106.913214061 36.558104017, -106.907079209 36.563027747, -106.901748737 36.566125509, -106.8780114 36.569427326, -106.847858517 36.58240604, -106.82911249 36.585604653, -106.843573196 36.591586679, -106.849127999 36.604244411, -106.845646111 36.609561552, -106.847101658 36.612662012, -106.841818844 36.616880875, -106.844657591 36.620009709, -106.842974015 36.624698225, -106.830242441 36.626992758, -106.831467497 36.630131059, -106.830044046 36.63824285, -106.823477112 36.645716451, -106.820367489 36.656062972, -106.823426515 36.660029405, -106.824686699 36.672796071, -106.837369456 36.668134154, -106.843288963 36.670072366, -106.849064078 36.674217603, -106.855667773 36.669455846, -106.855853434 36.667238463, -106.869572705 36.663089553, -106.881389101 36.665736972, -106.886008056 36.663023705, -106.895737107 36.664623423, -106.900031229 36.663057367, -106.901967835 36.664828958, -106.906011045 36.664045769, -106.910293252 36.666271082, -106.916677727 36.673487271, -106.92886811 36.676268893, -106.93411155 36.674160065, -106.936660172 36.676136427, -106.936987787 36.681209289, -106.942565161 36.694746563, -106.947027724 36.699192971, -106.94876307 36.706609545, -106.953980514 36.711633293, -106.954739468 36.716592974, -106.954059879 36.719923608, -106.949538543 36.724249874, -106.950165621 36.728210729, -106.947473954 36.732380117, -106.947429986 36.736284346, -106.942999379 36.740264966, -106.943248494 36.744915264, -106.931911148 36.750031329, -106.927045242 36.756763252, -106.928431883 36.758546842, -106.92732119 36.760846639, -106.929891187 36.764472359, -106.930712287 36.772871484, -106.933065669 36.774785897, -106.936126059 36.783075519, -106.94166974 36.788310321, -106.940701261 36.791043669, -106.935683685 36.792171059, -106.937075789 36.804761314, -106.931251137 36.804521637, -106.92733204 36.80695092, -106.926248351 36.810042012, -106.921847932 36.810927145, -106.920315623 36.809813724, -106.919345461 36.811913085, -106.916126677 36.812692516, -106.90567672 36.807226885, -106.893225746 36.814475537, -106.89201995 36.813054181, -106.895377896 36.810584511, -106.893275038 36.80762535, -106.8733876 36.805054374, -106.86794301 36.809199088, -106.865531441 36.809061724, -106.865567656 36.811208317, -106.852544947 36.815571002, -106.851707574 36.818954676, -106.847836461 36.822983284, -106.842425712 36.821966935, -106.829450447 36.825728759, -106.820663044 36.8394432, -106.81065534 36.844343539, -106.802483531 36.852728535, -106.801603128 36.857363958, -106.793721117 36.862045953, -106.793666283 36.864251045, -106.788525296 36.866673331, -106.785496504 36.870257276, -106.781157929 36.869956419, -106.774812905 36.863938381, -106.758705712 36.867246276, -106.744723247 36.878052342, -106.739845857 36.884193981, -106.722313457 36.888699674, -106.723017105 36.892394647, -106.71935668 36.89773601, -106.714164475 36.898641401, -106.710438968 36.896495898, -106.701490883 36.901044917, -106.700338778 36.903191656, -106.702343594 36.904798201, -106.703772148 36.910895824, -106.700950675 36.913635467, -106.700182227 36.919061469, -106.706798765 36.925922066, -106.705474171 36.927511583, -106.704803883 36.9368949, -106.708527264 36.940175553, -106.717381379 36.940714583, -106.713923087 36.949321394, -106.718921366 36.955397449, -106.733666145 36.960441343, -106.727617276 36.963347514, -106.721515344 36.972428206, -106.721741015 36.979096062, -106.719604837 36.981063248, -106.719161946 36.985717134, -106.712175608 36.985061916, -106.699199043 36.990336809, -106.697484438 36.993661652, -106.698025762 36.996619506, -106.688339733 37.005862873, -106.68836923 37.008407315, -106.692219066 37.013992899, -106.692701685 37.019970339, -106.690601382 37.022470391, -106.691015564 37.039458793, -106.688705685 37.040699632, -106.687570566 37.037520889, -106.68551414 37.036863625, -106.676726261 37.037757306, -106.669194497 37.0327104, -106.648755845 37.030710989, -106.641173043 37.032044834, -106.639936077 37.034962106, -106.629750116 37.040532918, -106.63210553 37.042265513, -106.63276076 37.048490565, -106.640186756 37.053620544, -106.637745817 37.055722229, -106.636861512 37.059199686, -106.63824432 37.061605399, -106.63274887 37.072208767, -106.63032666 37.073350873, -106.626469089 37.08473734, -106.626441819 37.091744464, -106.622771551 37.098264691, -106.62287986 37.100410417, -106.627229114 37.104760386, -106.625612963 37.109929138, -106.62685437 37.116224423, -106.613141872 37.135483242, -106.598376175 37.138620125, -106.593627374 37.136958254, -106.588523766 37.138456999, -106.582610954 37.129408693, -106.56985307 37.128316496, -106.562359707 37.129703849, -106.558850908 37.133845893, -106.553198417 37.133821195, -106.548897949 37.135807696, -106.537501252 37.131284571, -106.538912346 37.128905116, -106.537507092 37.12703502, -106.527034375 37.123922357, -106.515947813 37.117097516, -106.512174567 37.110391515, -106.51657523 37.105718488, -106.520848729 37.095559364, -106.521273516 37.089446513, -106.517754606 37.085820528, -106.513283442 37.07566312, -106.512971348 37.068528698, -106.509504787 37.05846869, -106.506190839 37.054355297, -106.506421878 37.051195192, -106.501557255 37.047469583, -106.486683884 37.046348207, -106.479806988 37.043659957, -106.471833098 37.043061814, -106.467304048 37.039221635, -106.466655663 37.040938418, -106.464612636 37.040787769, -106.460438696 37.0319206, -106.455772937 37.027269136, -106.455489294 37.024116108, -106.446281792 37.017501949, -106.449382505 37.014814746, -106.449631427 37.007810672, -106.447551151 37.00047646, -106.450557727 36.996313692, -106.452932928 36.997077463, -106.460388178 36.992525619, -106.463265354 36.981014334, -106.460300773 36.978069215, -106.454177048 36.978332334, -106.444839156 36.971071074, -106.440151179 36.969584189, -106.438413993 36.963539556, -106.427833046 36.965373085, -106.427478652 36.962449231, -106.425144708 36.962657932, -106.4178321 36.965478199, -106.415795507 36.969688721, -106.40325117 36.974318331, -106.395231088 36.975472701, -106.3915105 36.98053104, -106.383202138 36.974960996, -106.379798973 36.975078012, -106.379162564 36.970903333, -106.37520124 36.969391301, -106.373008812 36.96623044, -106.36832069 36.966062402, -106.362405505 36.962837246, -106.361030637 36.950719491, -106.363659616 36.936000766, -106.354423419 36.931344626, -106.355135596 36.926498169, -106.357411827 36.924574414, -106.361464963 36.913474211, -106.357559426 36.911454117, -106.358086887 36.908847726, -106.353552399 36.903131909, -106.348114934 36.900786945, -106.34685631 36.896286982, -106.341003747 36.890345535, -106.344777153 36.881210001, -106.350947504 36.873328051, -106.338600711 36.874665122, -106.332700265 36.87379672, -106.330758575 36.871834244, -106.331260106 36.866105367, -106.335859515 36.860621415, -106.325663909 36.856578819, -106.322668471 36.853583191, -106.323245512 36.850924288, -106.318352029 36.847912902, -106.317865304 36.842403695, -106.321139476 36.838185143, -106.314932729 36.837925335, -106.313394351 36.835366171, -106.310107805 36.834966725, -106.301811127 36.837880078, -106.296354897 36.83665641, -106.287744477 36.830675943, -106.276968607 36.827394897, -106.273465298 36.821014052, -106.268395551 36.817854, -106.267488581 36.813159341, -106.26238544 36.810536405, -106.254153107 36.81052895, -106.253273765 36.807504685, -106.254454891 36.805617333, -106.262032362 36.798067837, -106.260075175 36.788896892, -106.262565412 36.785895835, -106.26290483 36.778662035, -106.269485255 36.770071217, -106.269063457 36.767506513, -106.263147263 36.766666258, -106.255774806 36.772976163, -106.242921596 36.775936708, -106.233976997 36.776733884, -106.226740117 36.774893519, -106.225151889 36.777917869, -106.216070498 36.780972501, -106.208309516 36.781168221, -106.203878356 36.783207435, -106.192950932 36.782404815, -106.186675821 36.788492429, -106.187015684 36.796136867, -106.1779947 36.800315089, -106.175206691 36.797662799, -106.165543353 36.794099365, -106.162806122 36.79044316, -106.162287402 36.785218812, -106.152215008 36.783944539, -106.146151805 36.778158363, -106.148200082 36.766015829, -106.138078232 36.758735992, -106.139202445 36.755933195, -106.131202965 36.753796352, -106.131751031 36.749857805, -106.136481276 36.745929739, -106.127368768 36.740859284, -106.118274167 36.739927189, -106.114634056 36.73185874, -106.115649015 36.726896259, -106.111774719 36.725441132, -106.112346253 36.722211823, -106.105917404 36.716141485, -106.107420845 36.714239021, -106.10340742 36.712437755, -106.101864296 36.70996532, -106.102587249 36.707785759, -106.106965639 36.705569357, -106.106262106 36.703200781, -106.097210949 36.701241329, -106.095553412 36.697947439, -106.091679431 36.70163155, -106.089603866 36.701396068, -106.084995074 36.697372225, -106.074843627 36.692293323, -106.070446287 36.688385881, -106.070508352 36.675881707, -106.065373556 36.674091597, -106.060389363 36.676666715, -106.056085158 36.670567262, -106.048546632 36.670850653, -106.041220484 36.666428512, -106.032146991 36.665661458, -106.031400899 36.660641219, -106.033773658 36.65899506, -106.036052648 36.650031273, -106.027349598 36.642896366, -106.026071733 36.637268434, -106.017919005 36.63692209, -106.016498179 36.635320074, -106.017267667 36.612288625, -106.013162786 36.609116657, -106.002412023 36.60801069, -106.003312758 36.602011168, -106.006049388 36.599386174, -106.006135953 36.593942729, -106.00439336 36.591336665, -106.005202964 36.586299791, -106.007990317 36.583462156, -106.009004446 36.577421404, -106.007239394 36.574207151, -105.999815658 36.569330668, -105.999966362 36.566745104, -106.003082094 36.564599563, -106.001895049 36.563352379, -106.002907824 36.557349609, -105.994377369 36.548911126, -105.996044236 36.544991224, -105.985367349 36.538881745, -105.9796568 36.539962276, -105.971653924 36.545472816, -105.96771815 36.541700688, -105.955237414 36.542471095, -105.943681156 36.529699491, -105.945767022 36.520751292, -105.944610771 36.51652849, -105.938500179 36.503606385, -105.935872025 36.503521958, -105.937375904 36.500451677, -105.932060429 36.489404972, -105.932179466 36.482703024, -105.927145662 36.472335391, -105.918912951 36.462281654, -105.914785637 36.446406435, -105.912066589 36.44340707, -105.908650174 36.433533616, -105.913403781 36.427210583, -105.921231031 36.423137521, -105.922152872 36.421321055, -105.91933658 36.41704872, -105.920103195 36.413454807, -105.934849349 36.403204956, -105.935048141 36.401730426, -105.928073129 36.396087622, -105.927002016 36.393229211, -105.928114539 36.389227671, -105.932268504 36.38584188, -105.929983084 36.38280263, -105.932012756 36.375964354, -105.926290025 36.375277165, -105.921321903 36.376881196, -105.918376107 36.375259989, -105.91819034 36.372506739, -105.911928023 36.36613704, -105.910528225 36.358224982, -105.913123456 36.356511364, -105.912591064 36.355528916, -105.908415945 36.35544032, -105.893582088 36.344469356, -105.894634739 36.342370739, -105.892082041 36.338949154, -105.893936784 36.335637387, -105.893198619 36.332433434, -105.887584024 36.330292462, -105.88938761 36.324134248, -105.892449811 36.321757395, -105.884078315 36.309456131, -105.884293069 36.303330756, -105.889864961 36.299653798, -105.891636813 36.295164286, -105.890639114 36.29426246, -105.891791858 36.288126433, -105.89437703 36.286281266, -105.892601543 36.278012941, -105.896551974 36.275299002, -105.895428713 36.271125483, -105.899520902 36.264381034, -105.899501826 36.260271448, -105.903809498 36.261146314, -105.910112119 36.257028494, -105.915688112 36.256269879, -105.917501155 36.25262414, -105.923934329 36.248332563, -105.927263633 36.241730275, -105.931031303 36.239579272, -105.931595464 36.236624375, -105.935599939 36.233994743, -105.957653762 36.228636411, -105.960370328 36.223620093, -105.964518256 36.2213666, -105.967652549 36.223629244, -105.972914936 36.216896955, -105.979412476 36.214961534, -105.985982628 36.210164172, -105.991947082 36.210966168, -105.999705731 36.204250054, -106.007525257 36.200520509, -106.009857163 36.200055044, -106.013031271 36.203497956, -106.017005713 36.200385786, -106.01897953 36.19634343, -106.025939683 36.192508097, -106.040791586 36.189639628, -106.053712833 36.180772644, -106.066265779 36.176295622, -106.067482733 36.172707603, -106.075743368 36.163640636, -106.074871317 36.160707134, -106.077470099 36.154112316, -106.079882664 36.15242415, -106.075650049 36.147755059, -106.071526193 36.14822856, -106.070334342 36.144798076, -106.078047627 36.137622558, -106.089114581 36.132066497, -106.088546544 36.127663455, -106.091428993 36.123649436, -106.093051944 36.1143144, -106.099777932 36.10251678, -106.095132456 36.098689528, -106.097392733 36.094458616, -106.093635362 36.087501972, -106.101698579 36.075670163, -106.108840594 36.069141993, -106.110148933 36.062331212, -106.116159203 36.062817117, -106.122118226 36.058815472, -106.126143563 36.060419275, -106.151067606 36.057013947, -106.152341225 36.053006859, -106.156144662 36.05085881, -106.154567088 36.04922983, -106.156734879 36.045670292, -106.163477245 36.042853751, -106.168744649 36.038155006, -106.169376824 36.034196199, -106.181719923 36.023674275))",basin,Basin boundary.
1,"LINESTRING (-106.126479901 36.084261395, -106.125577301 36.083918095, -106.123828307 36.083162494, -106.122135803 36.082773194, -106.120810002 36.082338095, -106.120048501 36.0819031, -106.118751004 36.080735296, -106.117566407 36.079384193, -106.117086902 36.078972094, -106.115676701 36.078491196, -106.115084305 36.077918693, -106.114830703 36.076018095, -106.113928206 36.074827395, -106.113054 36.074117497, -106.112292603 36.073361896, -106.111700401 36.072583295, -106.111023702 36.071048997, -106.110882804 36.0703163, -106.110995702 36.069171399, -106.111701101 36.067774698, -106.111955002 36.066858798, -106.111983404 36.0660346, -106.111870706 36.065461993, -106.111419506 36.0649812, -106.110432602 36.064294197, -106.109614901 36.063973494)",main,The mainflow river upstream of USGS-08290000
2,"LINESTRING (-106.128539301 36.085062794, -106.128003307 36.0849941, -106.1268185 36.084490396, -106.126479901 36.084261395)",main,The mainflow river upstream of USGS-08290000
3,"LINESTRING (-106.130175404 36.086459495, -106.129188105 36.085566498, -106.128708504 36.085314594, -106.128539301 36.085062794)",main,The mainflow river upstream of USGS-08290000
4,"LINESTRING (-106.142593205 36.109378397, -106.142706007 36.109103695, -106.142903507 36.108576998, -106.142959505 36.107569493, -106.142790101 36.107088596, -106.142451406 36.106539197, -106.140842505 36.104455799, -106.139149405 36.102853194, -106.134944603 36.098617695, -106.134352006 36.097770594, -106.133590102 36.096969195, -106.132630803 36.095320694, -106.131784201 36.093832493, -106.130853102 36.093076795, -106.130345106 36.092046499, -106.130345002 36.090374999, -106.130542502 36.089894094, -106.130542405 36.089275897, -106.130457804 36.089207195, -106.130429402 36.0878333, -106.130175404 36.086459495)",main,The mainflow river upstream of USGS-08290000
5,"LINESTRING (-106.1424805 36.1098364, -106.142593205 36.109378397)",main,The mainflow river upstream of USGS-08290000
6,"LINESTRING (-106.150156304 36.111803994, -106.148858301 36.111804299, -106.147560202 36.111529894, -106.147052303 36.111506999, -106.145782605 36.111827895, -106.144936003 36.111827999, -106.143299207 36.111141399, -106.142875805 36.110683598, -106.1424805 36.1098364)",main,The mainflow river upstream of USGS-08290000
7,"LINESTRING (-106.150950104 36.121672496, -106.151062801 36.121237494, -106.151514001 36.120413095, -106.151880302 36.118878894, -106.151851505 36.117046997, -106.151907802 36.116863795, -106.152048305 36.115306795, -106.151935205 36.1148718, -106.1519069 36.114368096, -106.1525556 36.113474898, -106.152583502 36.112925395, -106.152357705 36.112696394, -106.150241002 36.111964293, -106.150156304 36.111803994)",main,The mainflow river upstream of USGS-08290000
8,"LINESTRING (-106.150245905 36.125817195, -106.150048107 36.125038698, -106.150019802 36.124809697, -106.150189005 36.124626599, -106.150752507 36.121809997, -106.150950104 36.121672496)",main,The mainflow river upstream of USGS-08290000
9,"LINESTRING (-106.152140707 36.136051796, -106.1519996 36.135960199, -106.152027801 36.1358229, -106.151914805 36.135708399, -106.151914805 36.135502294, -106.151604004 36.134723894, -106.149881206 36.131747693, -106.149344206 36.129915997, -106.149117902 36.128519297, -106.1492588 36.127649195, -106.150245905 36.125817195)",main,The mainflow river upstream of USGS-08290000
